input_text,output_text
"Название мероприятия: Лекция о квантовых вычислениях. Дата: 2026-05-12. Время: 14:00. Место проведения: Санкт-Петербург, IT-парк. Описание: Основы квантовой механики и их применение в IT. Спикер(ы): Д-р физ.-мат. наук Смирнов А.А. Аудитория (категория): Студенты технических вузов.","Сегодня в санкт-петербургском IT-парке доктор физико-математических наук А.А. Смирнов прочитал лекцию о квантовых вычислениях. Студенты узнали, как принципы квантовой механики меняют мир информационных технологий."
"Название мероприятия: Вебинар по финансовой грамотности. Дата: 2026-05-13. Время: 10:30. Место проведения: Онлайн (Zoom). Описание: Как управлять личным бюджетом и инвестировать. Спикер(ы): Финансовый консультант Петрова Е.И. Аудитория (категория): Широкой публики.","13 мая состоялся бесплатный вебинар от финансового консультанта Е.И. Петровой. Участники узнали о грамотном управлении бюджетом и первых шагах в инвестировании. Запись доступна на YouTube-канале организатора."
"Название мероприятия: Хакатон по машинному обучению. Дата: 2026-05-14. Время: 09:00. Место проведения: Москва, Технопарк «Сколково». Описание: Соревнование по созданию моделей для предсказания спроса. Спикер(ы): Team Lead Яндекса Козлов Д.С., ML-инженер Гусева А.В. Аудитория (категория): Дата-сайентисты и разработчики.","В Сколково стартовал хакатон по машинному обучению. Участники из 20 команд решают задачу прогнозирования спроса. Менторы — ведущие специалисты Яндекса. Победители получат гранты на обучение."
"Название мероприятия: Конференция «Зелёная энергетика 2026». Дата: 2026-05-15. Время: 11:00. Место проведения: Екатеринбург, КВЦ. Описание: Возобновляемые источники энергии, умные сети. Спикер(ы): Эксперт Росатома Иванов П.Н., экоактивистка Соколова М.Ю. Аудитория (категория): Энергетики и экологи.","В Екатеринбурге прошла конференция «Зелёная энергетика 2026». Спикеры обсудили перспективы ветро- и солнечной энергетики, а также внедрение умных сетей в российских регионах."
"Название мероприятия: Практикум по питону для начинающих. Дата: 2026-05-16. Время: 16:00. Место проведения: Новосибирск, Академпарк. Описание: Решение задач на Python, основы алгоритмов. Спикер(ы): Преподаватель НГУ Селиванов О.В. Аудитория (категория): Школьники 9-11 классов.","В новосибирском Академпарке прошёл практикум по Python. Олег Селиванов, преподаватель НГУ, помог школьникам разобрать базовые алгоритмы и написать первые программы. Мероприятие собрало более 50 юных программистов."
"Название мероприятия: Лекция о нейроинтерфейсах. Дата: 2026-05-17. Время: 13:15. Место проведения: Онлайн (YouTube). Описание: Как технологии чтения мыслей меняют медицину. Спикер(ы): Нейробиолог Шишкина Т.Л. Аудитория (категория): Все желающие.","Онлайн-лекция нейробиолога Татьяны Шишкиной собрала тысячи зрителей. Она рассказала о последних достижениях в области нейроинтерфейсов и их применении для реабилитации пациентов с параличом."
"Название мероприятия: Семинар по кибербезопасности. Дата: 2026-05-18. Время: 10:00. Место проведения: Казань, IT-парк. Описание: Защита персональных данных, социальная инженерия. Спикер(ы): Эксперт Лаборатории Касперского Ветров И.А. Аудитория (категория): Системные администраторы.","В Казани эксперты Лаборатории Касперского провели семинар по кибербезопасности. Основные темы — защита от фишинга и социальной инженерии. Участники получили практические рекомендации для работы в компаниях."
"Название мероприятия: Мастер-класс по 3D-печати. Дата: 2026-05-19. Время: 15:00. Место проведения: Нижний Новгород, Технопарк «Анкудиновка». Описание: От моделирования до печати прототипа. Спикер(ы): Инженер-конструктор Фролов Е.В. Аудитория (категория): Инженеры и дизайнеры.","19 мая в Технопарке «Анкудиновка» прошёл мастер-класс по 3D-печати. Инженер Е.В. Фролов показал полный цикл создания деталей — от 3D-модели до финишной обработки. Участники опробовали три принтера разных типов."
"Название мероприятия: Дискуссия «Искусство и AI». Дата: 2026-05-20. Время: 18:30. Место проведения: Санкт-Петербург, Новая Голландия. Описание: Может ли нейросеть быть автором?. Спикер(ы): Художник Андрей Оленин, куратор Анна Морозова. Аудитория (категория): Культурное сообщество.","В Новой Голландии прошла оживлённая дискуссия о роли нейросетей в искусстве. Художник Андрей Оленин и куратор Анна Морозова поспорили, можно ли считать произведения, созданные AI, настоящим творчеством. Мнения разделились."
"Название мероприятия: Выставка роботов. Дата: 2026-05-21. Время: 10:00–19:00. Место проведения: Ростов-на-Дону, Экспоцентр. Описание: Промышленные и бытовые роботы, дроны. Спикер(ы): Демонстраторы и инженеры. Аудитория (категория): Семейная.","В Ростове-на-Дону открылась интерактивная выставка роботов. Посетители могут поиграть с роботами-собаками, увидеть сварочные манипуляторы и дроны. Выставка продлится до воскресенья, вход для детей бесплатный."
