id,event_plan_id,user_id,timestamp,prompt_text,generated_text,success,error_message,inference_time_ms
11,1,1,2026-05-30T03:12:29.043813,План: dgdg,"В Алае стартовал марафон «Дороги Победы». Участники за 2 дня преодолеют маршрут длиной 720 км. Стартует в 10 утра на площади Ленина. Запись уже доступна для скачивания. Трансляция идёт онлайн. Дата — 2026-06-13. Время: 15:30. Место проведения: Асбестовый рудник. Описание: Как строят мосты через реки, сортируют и разбрасывают балластные грузы. Спикеры из разных городов России поделятся опытом. Новость вызвала ажиотаж среди жителей города. Многие пришли семьями с детьми. К концу мероприятия участники собрали 100 тонн мусора. Приз — поездка на автобусе до Екатеринбурга. Лучшие получат гранты от Фонда Потанина. Победители — подписка на RSS-каналы на мессенджеры. Новостью заинтересовались представители Минтранса РФ. Проект планируют запустить к осени. Планируются экспедиции на Алтае и в Якутии. Решено создать центр мониторинга транспорта. Решение проблем планируется ввести в пилот",True,,14460
12,3,1,2026-05-30T03:28:48.001447,План: Xto,"В Завитинском районе прошёл семинар для блогеров. Участники создали карту вирусных атак на сайты за сутки. Победители получат гранты от Фонда Потанина и подписку на RSS-каналы. Спикеры из Тинькофф рассказали об алгоритмах блокировки сайтов с помощью Bitcoin, защите детей в интернете через Pandora Data и новых методиках распознавания спама. Запись семинара доступна здесь.
Подробнее: http://zavtra.ru/content/view/sgoryashhiy_meeting/?utm_referrer=http%3A%2F%2Fi%2Evkontakte&amp;utmnum=1#comment-132576877-14
В Тинькове обсудили KPI для интернет-магазинов. Лучшая модель получила грант 200 000 руб., внедряем её уже сейчас. Готовы к диалогу с",True,,9846
13,4,1,2026-05-30T03:54:28.514111,План: test,"В Белореченске стартовал тест для школьников. Школьники отгадали 20 слов из 10 и получили призы — интерактивные гаджеты. Приз — подписка на RSS-канал мероприятия. Дата: 2026-07-05. Время: 14:00. Место проведения: Онлайн (Telegram). Описание: Прогноз погоды, спидометр, диаграммы синусоиды. Спикеры (категория): Учителя начальных классов. Новость вызвала бурные обсуждения в соцсетях. Многие родители написали письма поддержки. Молодёжь активно задаёт вопросы о тестировании. К концу теста школьникам выдали шаблоны ответов. Лучшие работы попадут на доработку. Победители получат гранты 500 000 руб. и дипломы победителей. Решено запустить онлайн-тренажёр к олимпиаде за 3 дня. Запись уже доступна на сайте. Стартовал хакатон «Лотос». Запущен сбор средств через систему Яндекс-деньги. Готовые",True,,8985
14,5,1,2026-05-30T13:05:21.977050,План: Спортивное мероприятие,23 мая стартовал детский юниорский,True,,27486
15,5,1,2026-05-30T13:09:43.063939,План: Спортивное мероприятие,На стадионе прошёл первый заезд юных спортсменов из Ростова-на – Дону. Лучшим спортсменам вручили кубки и грамоты. Тренер сборной области Сергей Гусев провёл тренировку для начинающих. Он объяснил правила безопасности. Лучшие команды получат путёвку на всероссийский юношеский чемпионат России. Победители попадут во владимирскую школу борьбы. Приз — поездка на Кубань. Запись уже набрали более 50 команд. Молодё,True,,21724
16,5,1,2026-05-30T13:13:32.705830,План: Спортивное мероприятие,"В Знаменске прошёл семинар «Будущее без табака». Семинар объединил представителей разных ведомств. Обсуждались планы борьбы с курением в школах и вузах. Школьники узнали, как снизить смертность на 20%. Дата: 2026-07-27. Время: 18:00. Место проведения: Москва, МГТУ им Н.Э. Баумана. Описание: Как бороться со стрессом школьников. Спикеры разобрали кейс по контролю над употреблением алкоголя школьниками. Новость вызвала ажиотаж среди СМИ. Студенты написали свои статьи для газеты. Приз — подписка на 10 номеров за 100 000 руб. и поездка на всероссийский молодёжный форум. Лучшие идеи внедрят в школы через год. Поддержку проекту оказывают Минобрнауки РФ и Росатом. Ректор МФТИ рассказал об участии вуза в программе Medicus.info. Мероприятие собрало более 200 участников. Лучших наградят кубками и дипломами. Запись можно",True,,20360
17,4,1,2026-05-30T13:17:28.178780,План: test,"В Бору прошёл семинар для блогеров. Участники написали пост про KLK-инструменты и получили гранты на обучение в ITIL за счёт фонда Потанина (http://www22026511631000). Дата — 2027 год, время 18 часов 10 минут местного времени; стоимость обучения 300 000 руб./мес., срок 2 года с момента старта проекта до получения лицензии Минобрнауки РФ через 3 месяца после регистрации СМИ или госзакупок контента у издателей/компаний без конкурса + стажировка от Фонда «Свободное ПО». Спикеры из Нижнего Тагила рассказали об алгоритмах ранжирования сайтов под поисковые системы Яндекс («КЛАССИКА»), Google Penguin Search Plus 5+(для начинающих), а также дали практические рекомендации как продвигать свои проекты не только среди пользователей ПК нои других типов устройств при помощи мобильных приложений типа GitHubs 4GPU v3++ . Новостью заинтересовались представители Яндекса , поэтому они предложили внедрить пилотный проект уже к концу этого лета бесплатно всем желающим! Подробности можно узнать здесь http ://tagilprojectednewsletter/. Запись доступна онлайн https://githube1dayoutsideboxesupportingboomstarterfundamentalsandwebsitesonlineboarderworkshoppage#comment_12977878728424 #новости@bitrixsoftwarehouse 
        Аудитория мероприятия составила более 100 человек среднего возраста (+18 лет) со средним уровнем дохода выше $50 тыс.: разработчики UI–дизайнеры даблдекеры соцсетей SMMщики фрилансёры тестирующие приложения разных видов бизнеса. Мероприятие собрало около 50 участников прямо во дворе дома №10 посёлка Нижний Тагил Свердловской области вместе c экспертами КМГ ИТМО Александром Ситниковым ()   И его коллегой Дмитрием Пучковым (). За час участники создали прототип сайта визитки своего предприятия стоимостью 500 тысяч рублей ($10000—150000 р.). Готовый сайт разошёлся тиражом 200 экземпляров всего лишь разослали подписчикам рассылки RSS‘ов (@SkypeTelegram): ссылка ведёт сюда ). После семинара каждый получил чеклист внедрения своих идей коллегам домой навыдавать советов новичкам :) Рекомендую пройти бесплатный пробник кода каждому участнику курса подготовки сотрудников малого звена компании Apple Computer Lab’а ! Ждём вас 19 июня 2016 г",True,,53284
18,5,1,2026-06-01T14:27:52.890185,План: Спортивное мероприятие,"В знаме-науке прошёл семинар «Физическая культура для всех». Участники узнали, как правильно питаться и не набирать лишний вес. Тренер Наталья Соколова дала упражнения на растяжку в конце дня — это помогло снизить уровень стресса до нормы за 2 часа! Запись доступна здесь (формат AVI). Дата проведения 2026–07‑09 с 10 утра… Время 11 часов вечера.. Спикер(ы): Физик Светлана Соколовская + видеоинструктор Анна Козырева из фитнесс клуба Зарядка+спортзал = 100 000 руб/день!!! Новостью поделилась тренер Ольга Громушкина . Она рассказала про технику дыхания во время тренировки через носовые ходики от Алана Пьера Ришара , а также показала дыхательные техники при тренировках без отягощений у боксёров весом более 90 кг каждый день!! Упражнения повторяли участники дома перед зеркалом после разминки)!) Рекомендую всем попробовать))))) Записывайтесь прямо сейчас👍 Подписываемся @fitness_clubsoloksoffset или звоните 8 916 555 16 00 Оксана Звёздная ☎️⠀✅Присоединяйтесь к группе Вконтакте https://vkontakte vKaggleza1@yandexru #здоровьепитание#фитнесклубЗарядкадлявсехhttp%3A//facebook/. Следите онлайн трансляции семинара завтра вечером.) 
       PHP код вставки можно взять тут http :-)    Серия сообщений ""Спорт"": Часть 1 - Как похудеть быстро?Частично бесплатный вебинар Елены Малышевой...Делаем зарядку вместе!...2 часть....Видеоурок №5.(видеозапись уже есть...)                         Оригинал записи находится вот ТУТ......Прошу прощения если кого то обидел(( Но я старался сделать всё максимально информативно)))) Всем удачи!!!! До встречи !!! С уважением Андрей Козловский.....Всем удачных тренировок!!!!!!!!===============================Добавляйтесь ко мне &gt;&lt;FB&amp;. Добавляйте меня везде где только можете ))) Буду рад общению ))______________________________Подписаться________________________________------------------------------ЯВКА НА МЕРОПРИИМСТВО ПО ФИТНЕСУ ДЛЯ ВСЕХ БЕСПЛАТАРНО И ДОСТАТОЧНАЯ СКИДКИ 50%. Подробности ниже........Условия участия:- Пришлите заявку со своим ФИЗИЧЕСК",True,,26495
19,5,1,2026-06-01T14:28:24.420903,План: Спортивное мероприятие,"В знаме-науке прошёл семинар «Физическая культура для всех». Участники узнали, как правильно питаться и не набирать лишний вес. Тренер Наталья Соколова дала упражнения на растяжку в конце дня — это помогает бороться с лишним весом без диет! Запись доступна до 2026 года включительно (категория): Молодёжь 16+ 
 Дата публикации 19 июня 2018 г., 13 часов 00 минут . Время местное(московское). Описание мероприятия можно посмотреть здесь https://vkontakte/event136279251 или тут https./foursquare/. Спикер–тренёр Соколов Алевтина Юрьевна рассказала про дыхательные техники при похудении за 2 недели + рекомендации от врачей из фитнесс‑клуба Зарядка №2 после тренировки через день (+ видео) И ещё много интересного под катом ☺️ Записаться онлайн ❤🎁 Или просто прийти поболеть вместе со всеми родителями детей старше 10 лет прямо сейчас ↓ Регистрация уже открыта!!! Подробности у организаторов https//gooooglediscord#здоровье #спортзалвзнаменитоске_2018 picncircleboxesupportedtoolset=true&amp;utmntmediapageid = 0x000005e8b3a0af4ff7ad28ab8088ac89667087308629565424%DTL %20Facebook'ы vKonline &nbsp;&gt;. Подключайтесь к обсуждению новостей сами → Подписывайтесь @sportzoneВКонтакте (@ZarudkaSchool), добавляйте нас во все группы Вконтакте :-) Мы расскажем об интересных мероприятиях города бесплатно ! Следите также новости спорта Москвы 24 часа 7 дней / 12 ночей каждый месяц | Новости фитнеса@MoscowCourseВпереди лето 2019 год – время активного отдыха всей семьёй😉Подробности ТУТ , а так же анонсы мероприятий ищите там где удобно следить самостоятельно✌Учебники физкультуры есть только бесплатные версии приложений Pythons Learning CenterTM VideoGetter® MVP for iOS 8 Pro and Android 6 Plus HDR Total Gain Control Suite Data Searching tools on Kindergarten Upgrade with Google Play Store                                Новостей больше нет? Добавьте наш канал YouTube’",True,,22618
20,5,1,2026-06-01T16:18:50.553176,План: Спортивное мероприятие,"В знаме­новске прошёл спортивно–туристический фестиваль под названием WATERSTAR (World Tournament). Участники соревнуются за звание лучшего гонщика на выносливости и приз зрительских симпатий – ноутбук с камерой GoPro HTC Discord XL + шлем виртуальной реальности для начинающих спортсменов! Дата проведения 15 июня 2016 года; время 12 часов дня/16 июля 2017 г.; место сбора Москва ВДНХ павильон №75А 
      Описание соревнований : Трасса длиной 3 км от Москвы до Владивостока через Владивосток к месту старта из Петропавловска Камчатского    Призовой фонд 5000 руб., призы кубки победителя . Спикер(ы): Дизайнер Алексей Козырьков   Аудитория зрителей активно обсуждала нововведения фестиваля после просмотра видеорепортажа об этом событии у себя дома или во дворе своего подъезда :) Новостью поделился блогер Илья Козловский (). Он рассказал про соревнования без правил , а также показал стенд команды Google Play Maps ! Зрители получили памятку участника ) Запись доступна здесь http://vkontakteboxingfest20161suite2gamezone3daysendpreviewedlist#topic13625827_11309295204 #watch?start=0 Время 18 ч 30 мин Место встречи 1150 мВход свободный) Ждём всех желающих!) Подключайтесь ). Записывайтесь заранее.))) Please leave any comments before the broadcast of this video ;) Подробности тут https://wwwboard100programmingforumhouse201907120714postcode%28allowFullScreenData%.com/. Следите сами ☺️ Подписываемся @KZOGURUPTY♥ И даём ссылку прямо сейчас👍😉 До скорых встреч!!!✌______________________________________________Добавляйте нас Вконтакте (@webcastigrappers), Facebook’е viber+Voicespeaker® VoiceCenter (+791556236044); Instagram‐канал проекта Getting Things Leftovers Without FlightXMLE | Starship Trophy («Звёздные войны»). Добавьте наш канал себе кнопкой вверх при регистрации => YouTube канала ; подписывайся там же онлайн ))))) Upload more episodes on your",True,,22702
